Litho_Facies,Formation,Well Name,Depth,GR,VCL,NPHI,RHOB,DT,FACIES,PHI
0,A,1,3107.773926,124.8014984,0.875545621,0.227799997,2.619600058,85.39230347,5,0.000104993
0,A,1,3107.91333,121.074997,0.834177196,0.232700005,2.615700007,85.12989807,5,0.005205064
0,A,1,3108.052979,119.5147018,0.816798151,0.227400005,2.614599943,85.10089874,5,0.00746893
0,A,1,3108.192627,119.3815994,0.815419316,0.236399993,2.608700037,84.91549683,5,0.007696695
0,A,1,3108.332275,120.7125015,0.830092132,0.230299994,2.60619998,84.99610138,5,0.005678745
0,A,1,3108.471924,120.1723023,0.824136913,0.229900003,2.607399941,84.86289978,5,0.006429975
0,A,1,3108.611328,122.7009964,0.852188408,0.229900003,2.604000092,84.69259644,5,0.003489001
0,A,1,3108.750977,121.9024963,0.843438566,0.220599994,2.603899956,84.79810333,5,0.000199469
0,A,1,3108.890625,124.5486984,0.872741222,0.226500005,2.602999926,84.42350006,5,0.000104124
0,A,1,3109.030273,120.5212021,0.82804817,0.224999994,2.60439992,84.63600159,5,0.005924084
0,A,1,3109.169922,123.8228989,0.864732027,0.231000006,2.603600025,84.59400177,5,0.002511652
0,A,1,3109.309326,126.0183029,0.889141202,0.228699997,2.601099968,84.56359863,5,0.000103269
0,A,1,3109.448975,128.8480072,0.920434356,0.228699997,2.605099917,84.6167984,5,0.000100999
0,A,1,3109.588623,124.3486023,0.870462239,0.238100007,2.60770011,84.45619965,5,0.002261062
0,A,1,3109.728271,121.7539978,0.841643691,0.233099997,2.607899904,84.26190186,5,0.004427058
0,A,1,3109.86792,117.8944016,0.798857749,0.226400003,2.60710001,84.40229797,5,0.010601606
0,A,1,3110.007568,121.8539963,0.842801988,0.223399997,2.605600119,84.73619843,5,0.001788998
0,A,1,3110.146973,121.9869995,0.844325185,0.229300007,2.597300053,84.56030273,5,0.004170744
0,A,1,3110.286621,123.7172012,0.863420487,0.239299998,2.593800068,84.62229919,5,0.002692016
0,A,1,3110.42627,118.2572022,0.802867353,0.235400006,2.591700077,84.64399719,5,0.009838278
0,A,1,3110.565918,116.0178986,0.777991593,0.234999999,2.598099947,84.34329987,5,0.015544253
0,A,1,3110.705566,115.4412994,0.77161181,0.223900005,2.604099989,84.71949768,5,0.016601574
0,A,1,3110.844971,116.2537003,0.78059423,0.238600001,2.618700028,84.54160309,5,0.014850385
0,A,1,3110.984619,115.8544006,0.776155889,0.2315,2.628200054,84.58989716,5,0.016061349
0,A,1,3111.124268,112.8376007,0.742586792,0.237599999,2.629899979,84.84739685,5,0.023082452
0,A,1,3111.263916,111.9285965,0.73255831,0.230000004,2.628000021,85.14479828,5,0.024692822
0,A,1,3111.403564,115.9213028,0.776940823,0.235200003,2.631400108,85.50800324,5,0.015850032
0,A,1,3111.542969,118.7161026,0.807947278,0.245199993,2.630300045,85.5089035,5,0.008935389
0,A,1,3111.682617,115.106102,0.767786443,0.236499995,2.625200033,85.72460175,5,0.018512962
0,A,1,3111.822021,114.1744003,0.75752455,0.251700014,2.622499943,85.68199921,5,0.021986293
0,A,1,3111.96167,115.8582993,0.776355505,0.237499997,2.630300045,85.60289764,5,0.0160351
0,A,1,3112.101318,126.5221024,0.894705772,0.2403,2.630000114,86.00550079,5,0.000121633
0,A,1,3112.240723,126.921402,0.899100661,0.225299999,2.619400024,86.04429627,5,0.0001
0,A,1,3112.380371,126.9676971,0.89946419,0.231099993,2.607800007,83.91570282,5,0.000119973
0,A,1,3112.52002,117.6513977,0.796000779,0.225400001,2.617399931,80.75830078,5,0.010401016
0,A,1,3112.659668,110.8440018,0.720381618,0.204400003,2.631500006,78.24980164,5,0.010396026
0,A,1,3112.799316,102.725502,0.630269826,0.183699995,2.640799999,76.06199646,5,0.013791381
0,A,1,3112.938721,100.6548004,0.607352614,0.170499995,2.642400026,75.10269928,5,0.008838743
0,A,1,3113.078369,104.2680969,0.647436619,0.1743,2.651299954,76.0326004,5,0.002115136
0,A,1,3113.218018,106.780098,0.675303042,0.174199998,2.655100107,77.04429627,5,0.000102725
0,A,1,3113.357666,106.9876022,0.677475631,0.179199994,2.641499996,76.73169708,5,0.000270768
0,A,1,3113.497314,98.45429993,0.582747877,0.180600002,2.605999947,75.87799835,5,0.025983028
0,A,1,3113.636719,94.87750244,0.543035984,0.173700005,2.573499918,76.51069641,5,0.036088303
0,A,1,3113.776367,90.48549652,0.494272828,0.176699996,2.543900013,77.84819794,5,0.055181049
0,A,1,3113.916016,88.62190247,0.473570854,0.189199999,2.516499996,78.19409943,5,0.073012784
0,A,1,3114.055664,86.62560272,0.451310784,0.203199998,2.487600088,78.85430145,5,0.092205927
0,A,1,3114.195313,80.50340271,0.383331627,0.194900006,2.46420002,77.98110199,5,0.107899688
0,A,1,3114.334717,75.8184967,0.331121504,0.149800003,2.470700026,74.13430023,5,0.095737569
0,A,1,3114.474365,63.57419968,0.195228219,0.106799997,2.507100105,68.76390076,6,0.000130015
0,A,1,3114.614014,58.64989853,0.140511677,0.064900003,2.565900087,65.33930206,6,0
0,A,1,3114.753662,52.59550095,0.073299997,0.058200002,2.608200073,62.72380066,6,0
